user_id,book_id,rating
75,11,5
143,11,5
230,11,5
247,11,5
256,11,4
338,11,5
363,11,4
439,11,4
446,11,4
307,11,3
736,11,5
997,11,5
1037,11,4
1038,11,5
1115,11,2
1225,11,5
1283,11,4
1286,11,5
1296,11,4
1350,11,5
1374,11,5
1377,11,4
1388,11,4
1403,11,5
1352,11,5
1456,11,4
1449,11,5
1518,11,3
1585,11,4
1565,11,5
1634,11,3
1671,11,5
1710,11,5
1719,11,4
1766,11,4
1789,11,4
1806,11,4
1794,11,5
1824,11,4
1875,11,5
1772,11,4
1916,11,4
1989,11,5
2112,11,5
2197,11,3
2329,11,5
2428,11,5
2477,11,5
2483,11,5
2501,11,5
2493,11,5
2508,11,4
2663,11,5
2702,11,4
2683,11,5
2854,11,5
2919,11,5
476,11,4
2996,11,4
3005,11,4
3103,11,4
2572,11,3
3243,11,3
1294,11,3
3255,11,5
3263,11,4
3278,11,4
3420,11,2
3426,11,5
3507,11,4
3641,11,5
2649,11,5
1266,11,4
3686,11,5
3786,11,3
2063,11,3
3853,11,5
3908,11,4
3943,11,5
3788,11,5
3969,11,4
2467,11,5
4061,11,5
3982,11,3
4212,11,5
1800,11,4
4315,11,4
4399,11,3
4444,11,5
4454,11,4
4430,11,4
4509,11,5
4536,11,4
4558,11,1
4575,11,4
3502,11,4
4671,11,5
4691,11,4
244,11,2
4897,11,5
2544,11,3
4909,11,5
4993,11,5
5069,11,2
4088,11,4
5136,11,4
5209,11,3
5335,11,4
3362,11,4
5298,11,5
5436,11,4
5610,11,5
5624,11,5
5118,11,3
5633,11,5
3284,11,4
5760,11,3
5766,11,3
5802,11,1
575,11,5
5863,11,3
5911,11,3
5912,11,3
5567,11,5
6025,11,4
6054,11,5
6042,11,2
6097,11,5
2077,11,3
6132,11,5
5941,11,4
6210,11,5
6252,11,5
4410,11,3
6294,11,4
1169,11,4
2421,11,4
6446,11,3
6507,11,5
4025,11,2
6617,11,4
6728,11,5
6790,11,4
6063,11,4
5812,11,5
6925,11,2
5240,11,5
7001,11,5
7005,11,3
7134,11,3
5487,11,1
7152,11,3
6601,11,4
7185,11,3
7191,11,5
7210,11,2
7257,11,4
2047,11,5
3796,11,3
7384,11,4
7448,11,3
7509,11,4
7546,11,4
7584,11,5
7585,11,4
3803,11,5
7623,11,2
7678,11,3
7711,11,3
3580,11,5
7857,11,3
7908,11,4
7930,11,4
7955,11,4
7976,11,4
6707,11,5
8043,11,4
8046,11,3
7760,11,5
8188,11,2
8237,11,4
8241,11,3
7738,11,4
8305,11,4
8315,11,3
8334,11,5
5645,11,4
8403,11,5
8410,11,5
